[,atoms,]
nr,type,resnr,residu,atom,cgnr,charge,mass,NaN,NaN,NaN
1,CRL1,5,CHL1,C3,1,0.140000,12.0110,;,qtot,0.140
2,HGA1,5,CHL1,H3,2,0.090000,1.0080,;,qtot,0.230
3,OHL,5,CHL1,O3,3,-0.660000,15.9994,;,qtot,-0.430
4,HOL,5,CHL1,H3',4,0.430000,1.0080,;,qtot,-0.000
5,CRL2,5,CHL1,C4,5,-0.180000,12.0110,;,qtot,-0.180
6,HGA2,5,CHL1,H4A,6,0.090000,1.0080,;,qtot,-0.090
7,HGA2,5,CHL1,H4B,7,0.090000,1.0080,;,qtot,-0.000
8,CEL1,5,CHL1,C5,8,0.000000,12.0110,;,qtot,-0.000
9,CEL1,5,CHL1,C6,9,-0.150000,12.0110,;,qtot,-0.150
10,HEL1,5,CHL1,H6,10,0.150000,1.0080,;,qtot,-0.000
11,CRL2,5,CHL1,C7,11,-0.180000,12.0110,;,qtot,-0.180
12,HGA2,5,CHL1,H7A,12,0.090000,1.0080,;,qtot,-0.090
13,HGA2,5,CHL1,H7B,13,0.090000,1.0080,;,qtot,-0.000
14,CRL1,5,CHL1,C8,14,-0.090000,12.0110,;,qtot,-0.090
15,HGA1,5,CHL1,H8,15,0.090000,1.0080,;,qtot,-0.000
16,CRL1,5,CHL1,C14,16,-0.090000,12.0110,;,qtot,-0.090
17,HGA1,5,CHL1,H14,17,0.090000,1.0080,;,qtot,-0.000
18,CRL2,5,CHL1,C15,18,-0.180000,12.0110,;,qtot,-0.180
19,HGA2,5,CHL1,H15A,19,0.090000,1.0080,;,qtot,-0.090
20,HGA2,5,CHL1,H15B,20,0.090000,1.0080,;,qtot,-0.000
21,CRL2,5,CHL1,C16,21,-0.180000,12.0110,;,qtot,-0.180
22,HGA2,5,CHL1,H16A,22,0.090000,1.0080,;,qtot,-0.090
23,HGA2,5,CHL1,H16B,23,0.090000,1.0080,;,qtot,-0.000
24,CRL1,5,CHL1,C17,24,-0.090000,12.0110,;,qtot,-0.090
25,HGA1,5,CHL1,H17,25,0.090000,1.0080,;,qtot,-0.000
26,CRL1,5,CHL1,C13,26,0.000000,12.0110,;,qtot,-0.000
27,CTL3,5,CHL1,C18,27,-0.270000,12.0110,;,qtot,-0.270
28,HAL3,5,CHL1,H18A,28,0.090000,1.0080,;,qtot,-0.180
29,HAL3,5,CHL1,H18B,29,0.090000,1.0080,;,qtot,-0.090
30,HAL3,5,CHL1,H18C,30,0.090000,1.0080,;,qtot,-0.000
31,CRL2,5,CHL1,C12,31,-0.180000,12.0110,;,qtot,-0.180
32,HGA2,5,CHL1,H12A,32,0.090000,1.0080,;,qtot,-0.090
33,HGA2,5,CHL1,H12B,33,0.090000,1.0080,;,qtot,-0.000
34,CRL2,5,CHL1,C11,34,-0.180000,12.0110,;,qtot,-0.180
35,HGA2,5,CHL1,H11A,35,0.090000,1.0080,;,qtot,-0.090
36,HGA2,5,CHL1,H11B,36,0.090000,1.0080,;,qtot,-0.000
37,CRL1,5,CHL1,C9,37,-0.090000,12.0110,;,qtot,-0.090
38,HGA1,5,CHL1,H9,38,0.090000,1.0080,;,qtot,-0.000
39,CRL1,5,CHL1,C10,39,0.000000,12.0110,;,qtot,-0.000
40,CTL3,5,CHL1,C19,40,-0.270000,12.0110,;,qtot,-0.270
41,HAL3,5,CHL1,H19A,41,0.090000,1.0080,;,qtot,-0.180
42,HAL3,5,CHL1,H19B,42,0.090000,1.0080,;,qtot,-0.090
43,HAL3,5,CHL1,H19C,43,0.090000,1.0080,;,qtot,-0.000
44,CRL2,5,CHL1,C1,44,-0.180000,12.0110,;,qtot,-0.180
45,HGA2,5,CHL1,H1A,45,0.090000,1.0080,;,qtot,-0.090
46,HGA2,5,CHL1,H1B,46,0.090000,1.0080,;,qtot,-0.000
47,CRL2,5,CHL1,C2,47,-0.180000,12.0110,;,qtot,-0.180
48,HGA2,5,CHL1,H2A,48,0.090000,1.0080,;,qtot,-0.090
49,HGA2,5,CHL1,H2B,49,0.090000,1.0080,;,qtot,-0.000
50,CTL1,5,CHL1,C20,50,-0.090000,12.0110,;,qtot,-0.090
51,HAL1,5,CHL1,H20,51,0.090000,1.0080,;,qtot,-0.000
52,CTL3,5,CHL1,C21,52,-0.270000,12.0110,;,qtot,-0.270
53,HAL3,5,CHL1,H21A,53,0.090000,1.0080,;,qtot,-0.180
54,HAL3,5,CHL1,H21B,54,0.090000,1.0080,;,qtot,-0.090
55,HAL3,5,CHL1,H21C,55,0.090000,1.0080,;,qtot,-0.000
56,CTL2,5,CHL1,C22,56,-0.180000,12.0110,;,qtot,-0.180
57,HAL2,5,CHL1,H22A,57,0.090000,1.0080,;,qtot,-0.090
58,HAL2,5,CHL1,H22B,58,0.090000,1.0080,;,qtot,-0.000
59,CTL2,5,CHL1,C23,59,-0.180000,12.0110,;,qtot,-0.180
60,HAL2,5,CHL1,H23A,60,0.090000,1.0080,;,qtot,-0.090
61,HAL2,5,CHL1,H23B,61,0.090000,1.0080,;,qtot,-0.000
62,CTL2,5,CHL1,C24,62,-0.180000,12.0110,;,qtot,-0.180
63,HAL2,5,CHL1,H24A,63,0.090000,1.0080,;,qtot,-0.090
64,HAL2,5,CHL1,H24B,64,0.090000,1.0080,;,qtot,-0.000
65,CTL1,5,CHL1,C25,65,-0.090000,12.0110,;,qtot,-0.090
66,HAL1,5,CHL1,H25,66,0.090000,1.0080,;,qtot,-0.000
67,CTL3,5,CHL1,C26,67,-0.270000,12.0110,;,qtot,-0.270
68,HAL3,5,CHL1,H26A,68,0.090000,1.0080,;,qtot,-0.180
69,HAL3,5,CHL1,H26B,69,0.090000,1.0080,;,qtot,-0.090
70,HAL3,5,CHL1,H26C,70,0.090000,1.0080,;,qtot,-0.000
71,CTL3,5,CHL1,C27,71,-0.270000,12.0110,;,qtot,-0.270
72,HAL3,5,CHL1,H27A,72,0.090000,1.0080,;,qtot,-0.180
73,HAL3,5,CHL1,H27B,73,0.090000,1.0080,;,qtot,-0.090
74,HAL3,5,CHL1,H27C,74,0.090000,1.0080,;,qtot,-0.000
