[	bonds	]
ai	aj	funct
1	2	1
1	3	1
1	5	1
1	47	1
3	4	1
5	6	1
5	7	1
5	8	1
8	9	1
8	39	1
9	10	1
9	11	1
11	12	1
11	13	1
11	14	1
14	15	1
14	16	1
14	37	1
16	17	1
16	18	1
16	26	1
18	19	1
18	20	1
18	21	1
21	22	1
21	23	1
21	24	1
24	25	1
24	26	1
24	50	1
26	27	1
26	31	1
27	28	1
27	29	1
27	30	1
31	32	1
31	33	1
31	34	1
34	35	1
34	36	1
34	37	1
37	38	1
37	39	1
39	40	1
39	44	1
40	41	1
40	42	1
40	43	1
44	45	1
44	46	1
47	44	1
47	48	1
47	49	1
50	51	1
50	52	1
50	56	1
52	53	1
52	54	1
52	55	1
56	57	1
56	58	1
56	59	1
59	60	1
59	61	1
59	62	1
62	63	1
62	64	1
62	65	1
65	66	1
65	67	1
65	71	1
67	68	1
67	69	1
67	70	1
71	72	1
71	73	1
71	74	1
