[,atoms,],,,,,,,,
nr,type,resnr,residu,atom,cgnr,charge,mass,NaN,NaN,NaN
1,CTO2,1,CER160,C1S,1,0,12.011,;,qtot,0
2,HAL2,1,CER160,H1S,2,0.09,1.008,;,qtot,0.09
3,HAL2,1,CER160,H1T,3,0.09,1.008,;,qtot,0.18
4,NHL,1,CER160,NF,4,-0.7,14.007,;,qtot,-0.52
5,H,1,CER160,HNF,5,0.35,1.008,;,qtot,-0.17
6,CTL1,1,CER160,C2S,6,0.3,12.011,;,qtot,0.13
7,HAL1,1,CER160,H2S,7,0.05,1.008,;,qtot,0.18
8,CTO1,1,CER160,C3S,8,0.5,12.011,;,qtot,0.68
9,HAL1,1,CER160,H3S,9,-0.11,1.008,;,qtot,0.57
10,OHL,1,CER160,O3,10,-0.69,15.9994,;,qtot,-0.12
11,HOL,1,CER160,HO3,11,0.3,1.008,;,qtot,0.18
12,CEL3,1,CER160,C4S,12,-0.15,12.011,;,qtot,0.03
13,HEL1,1,CER160,H4S,13,0.15,1.008,;,qtot,0.18
14,CEL3,1,CER160,C5S,14,-0.15,12.011,;,qtot,0.03
15,HEL1,1,CER160,H5S,15,0.15,1.008,;,qtot,0.18
16,CTL2,1,CER160,C6S,16,-0.18,12.011,;,qtot,0
17,HAL2,1,CER160,H6S,17,0.09,1.008,;,qtot,0.09
18,HAL2,1,CER160,H6T,18,0.09,1.008,;,qtot,0.18
19,CTL2,1,CER160,C7S,19,-0.18,12.011,;,qtot,0
20,HAL2,1,CER160,H7S,20,0.09,1.008,;,qtot,0.09
21,HAL2,1,CER160,H7T,21,0.09,1.008,;,qtot,0.18
22,CTL2,1,CER160,C8S,22,-0.18,12.011,;,qtot,0
23,HAL2,1,CER160,H8S,23,0.09,1.008,;,qtot,0.09
24,HAL2,1,CER160,H8T,24,0.09,1.008,;,qtot,0.18
25,CTL2,1,CER160,C9S,25,-0.18,12.011,;,qtot,0
26,HAL2,1,CER160,H9S,26,0.09,1.008,;,qtot,0.09
27,HAL2,1,CER160,H9T,27,0.09,1.008,;,qtot,0.18
28,CTL2,1,CER160,C10S,28,-0.18,12.011,;,qtot,0
