[	bonds	]
ai	aj	funct
1	2	1
1	5	1
1	9	1
1	13	1
2	3	1
2	4	1
2	17	1
5	6	1
5	7	1
5	8	1
9	10	1
9	11	1
9	12	1
13	14	1
13	15	1
13	16	1
17	18	1
17	19	1
17	23	1
20	21	1
20	22	1
23	20	1
20	24	1
24	25	1
25	26	1
25	27	1
25	28	1
28	29	1
28	30	1
28	36	1
30	31	1
31	32	1
31	33	1
33	34	1
33	35	1
33	45	1
36	37	1
36	38	1
36	39	1
39	40	1
40	41	1
40	42	1
42	43	1
42	44	1
42	92	1
45	46	1
45	47	1
45	48	1
48	49	1
48	50	1
48	51	1
51	52	1
51	53	1
51	54	1
54	55	1
54	56	1
54	57	1
57	58	1
57	59	1
57	60	1
60	61	1
60	62	1
60	63	1
63	64	1
63	65	1
65	66	1
65	67	1
67	68	1
67	69	1
67	70	1
70	71	1
70	72	1
70	73	1
73	74	1
73	75	1
73	76	1
76	77	1
76	78	1
76	79	1
79	80	1
79	81	1
79	82	1
82	83	1
82	84	1
82	85	1
85	86	1
85	87	1
85	88	1
88	89	1
88	90	1
88	91	1
92	93	1
92	94	1
92	95	1
95	96	1
95	97	1
95	98	1
98	99	1
98	100	1
98	101	1
101	102	1
101	103	1
101	104	1
104	105	1
104	106	1
104	107	1
107	108	1
107	109	1
107	110	1
110	111	1
110	112	1
110	113	1
113	114	1
113	115	1
113	116	1
116	117	1
116	118	1
116	119	1
119	120	1
119	121	1
119	122	1
122	123	1
122	124	1
122	125	1
125	126	1
125	127	1
125	128	1
128	129	1
128	130	1
128	131	1
131	132	1
131	133	1
131	134	1
